step,lr,Metrics/loss
49,0.001,9.208879470825195
99,0.001,7.6578049659729
149,0.001,6.617281436920166
199,0.001,6.024738311767578
249,0.001,5.657158374786377
299,0.001,5.402213096618652
349,0.001,5.215319633483887
399,0.001,5.035240173339844
449,0.001,4.916925430297852
499,0.001,4.785177230834961
549,0.001,4.701315879821777
599,0.001,4.561683654785156
649,0.001,4.503720283508301
699,0.001,4.461272239685059
749,0.001,4.396137714385986
799,0.001,4.252683639526367
849,0.001,4.159276962280273
899,0.001,3.9751789569854736
949,0.001,3.874685049057007
999,0.001,3.848410367965698
1049,0.001,3.782681703567505
1099,0.001,3.720597267150879
1149,0.001,3.732474803924561
1199,0.001,3.726585865020752
1249,0.001,3.609365701675415
1299,0.001,3.5699565410614014
1349,0.001,3.60990309715271
1399,0.001,3.600163698196411
1449,0.001,3.5563948154449463
1499,0.001,3.4784951210021973
1549,0.001,3.5429084300994877
1599,0.001,3.415152311325073
1649,0.001,3.483187675476074
1699,0.001,3.4203033447265625
1749,0.001,3.418917655944824
1799,0.001,3.4494833946228027
1849,0.001,3.336291551589966
1899,0.001,3.43325424194336
1949,0.001,3.3997316360473637
1999,0.001,3.2604055404663086
2049,0.001,3.285780429840088
2099,0.001,3.270359992980957
2149,0.001,3.313178300857544
2199,0.001,3.2836856842041016
2249,0.001,3.254931926727295
2299,0.001,3.242136001586914
2349,0.001,3.258073329925537
2399,0.001,3.2749040126800537
2449,0.001,3.263424873352051
2499,0.001,3.2213754653930664
2549,0.001,3.172842502593994
2599,0.001,3.212152004241944
2649,0.001,3.0930497646331787
2699,0.001,3.1853718757629395
2749,0.001,3.1585443019866943
2799,0.001,3.102248430252075
2849,0.001,3.1740524768829346
2899,0.001,3.1467859745025635
2949,0.001,3.180781602859497
2999,0.001,3.213785409927368
3049,0.001,3.0834810733795166
3099,0.001,3.092785596847534
3149,0.001,3.130418062210083
3199,0.001,3.0681240558624268
3249,0.001,3.099658727645874
3299,0.001,3.130742311477661
3349,0.001,3.109121561050415
3399,0.001,2.9865005016326904
3449,0.001,3.1395630836486816
3499,0.001,3.1056294441223145
3549,0.001,3.0811245441436768
3599,0.001,3.0587401390075684
3649,0.001,3.080432415008545
3699,0.001,3.0337164402008057
3749,0.001,3.033600091934204
3799,0.001,3.1143479347229004
3849,0.001,3.051579236984253
3899,0.001,3.117194414138794
3949,0.001,3.0913100242614746
3999,0.001,3.0778305530548096
4049,0.001,3.016508817672729
4099,0.001,3.0049853324890137
4149,0.001,3.103565216064453
